div_index,name,value,up_div,down_div,gua_ci,0,1,2,3,4,5,6
1,乾,63,Qian,Qian,乾，元亨，利贞。,初九：潜龙勿用,九二：见龙在田，利见大人,九三：君子终日乾乾，夕惕若厉，无咎,九四：或跃在渊，无咎,九五：飞龙在天，利见大人,上九：亢龙有悔,用九：见群龙无首，吉
2,坤,0,Kun,Kun,坤，元亨，利牝马之贞。君子有攸往，先迷，后得主，利西南得朋，东北丧朋。安贞吉。,初六：履霜，坚冰至,六二：直方大，不习无不利,六三：含章可贞，或从王事，无成有终,六四：括囊，无咎无誉,六五：黄裳元吉,上六：龙战于野，其血玄黄,用六：利永贞
3,屯,17,Kan,Zhen,屯，元亨利贞，勿用有攸往，利建侯,初九：磐桓，利居贞，利建侯,六二：屯如檀如，乘马班如。匪寇婚媾，女子贞不字，十年乃字,六三：即鹿无虞，唯入于林中，君子几不如舍，往吝,六四：乘马班如，求婚媾，往吉，无不利,九五：屯其膏，小贞吉，大贞凶,上六：乘马班如，泣血涟如,
4,蒙,34,Gen,Kan,蒙，亨。匪我求童蒙，童蒙求我。初筮告，再三渎，渎则不告。利贞。,初六：发蒙，利用刑人，用说桎梏，以往吝,九二：包蒙吉；纳妇吉；子克家,六三：勿用取女；见金夫，不有躬，无攸利,六四：困蒙，吝,六五：童蒙，吉,上九：击蒙；不利为寇，利御寇,
5,需,23,Kan,Qian,需，有孚，光亨，贞吉。利涉大川,初九：需于郊。利用恒，无咎,九二：需于沙。小有言，终吉,九三：需于泥，致寇至,六四：需于血，出自穴,九五：需于酒食，贞吉,上六：入于穴，有不速之客三人来，敬之终吉,
6,讼,58,Qian,Kan,讼，有孚窒。惕中吉。终凶。利见大人，不利涉大川,初六：不永所事，小有言，终吉,九二：不克讼，归而逋，其邑人三百户，无眚,六三：食旧德，贞厉，终吉，或从王事，无成,九四：不克讼，复即命，渝安贞，吉,九五：讼元吉,上九：或锡之鞶带，终朝三褫之,
7,师,2,Kun,Kan,师，贞，丈人，吉无咎,初六：师出以律，否臧凶,九二：在师中，吉无咎，王三锡命,六三：师或舆尸，凶,六四：师左次，无咎,六五：田有禽，利执言，无咎。长子帅师，弟子舆尸，贞凶,上六：大君有命，开国承家，小人勿用,
8,比,16,Kan,Kun,比，吉。原筮元永贞，无咎。不宁方来，后夫凶,初六：有孚比之，无咎。有孚盈缶，终来有他，吉,六二：比之自内，贞吉,六三：比之匪人,六四：外比之，贞吉,九五：显比，王用三驱，失前禽。邑人不诫，吉,上六：比之无首，凶,
9,小畜,55,Xun,Qian,小畜，亨。密云不雨，自我西郊,初九：复自道，何其咎，吉,九二：牵复，吉,九三：舆说辐，夫妻反目,六四：有孚，血去惕出，无咎,九五：有孚挛如，富以其邻,上九：既雨既处，尚德载，妇贞厉。月几望，君子征凶,
10,履,59,Qian,Dui,履虎尾，不咥人，亨,初九：素履，往无咎,九二：履道坦坦，幽人贞吉,六三：眇能视，跛能履，履虎尾，咥人，凶。武人为于大君,九四：履虎尾，愬愬终吉,九五：夬履，贞厉,上九：视履考祥，其旋元吉,
